,iteration,BottleneckKAGN_16_8_16_loss,FastKAN_128_8_128_loss,FastKAN_16_8_16_loss,FastKAN_256_128_256_loss,ReluKAN_16_8_16_loss,ReluKAN_256_128_256_loss,SQuIRELS_16_8_16_loss,SQuIRELS_256_128_256_loss,WavKAN_16_8_16_loss
0,0,0.002001,0.016107,0.06847,0.005511,0.00205,0.001996,0.035004,0.002013,0.997828
1,0,0.002001,0.008554,0.021771,0.003619,0.002047,0.001992,0.029589,0.002006,0.994541
2,0,0.002001,0.006128,0.009544,0.003019,0.002045,0.00199,0.025069,0.002005,0.991368
3,0,0.002001,0.004989,0.007402,0.002758,0.002043,0.00199,0.021278,0.002005,0.988234
4,0,0.002001,0.004326,0.006428,0.002582,0.002042,0.00199,0.018184,0.002005,0.985192
5,0,0.002001,0.003876,0.005848,0.002949,0.00204,0.00199,0.015629,0.002004,0.982233
6,0,0.002001,0.003543,0.005407,0.0025,0.002039,0.00199,0.013507,0.002004,0.979341
7,0,0.002001,0.003289,0.005025,0.002355,0.002038,0.001989,0.011774,0.002004,0.976499
8,0,0.002001,0.003089,0.004683,0.002413,0.002037,0.001989,0.01032,0.002004,0.973709
9,0,0.002001,0.002931,0.004377,0.002404,0.002036,0.001989,0.00904,0.002004,0.970981
10,0,0.002001,0.002806,0.004106,0.002233,0.002035,0.001989,0.007897,0.002004,0.96831
11,0,0.002001,0.002702,0.003869,0.0023,0.002034,0.001989,0.006875,0.002004,0.965687
12,0,0.002001,0.002619,0.003663,0.002285,0.002034,0.001989,0.005962,0.002004,0.963104
13,0,0.002001,0.002555,0.003486,0.002228,0.002033,0.001989,0.005161,0.002004,0.960553
14,0,0.002001,0.002497,0.003337,0.002313,0.002032,0.001989,0.004453,0.002004,0.958034
15,0,0.002001,0.002448,0.003211,0.002185,0.002032,0.001989,0.003867,0.002003,0.955539
16,0,0.002001,0.002406,0.003105,0.002186,0.002031,0.001989,0.003418,0.002003,0.953078
17,0,0.002001,0.002371,0.003014,0.002217,0.002031,0.001989,0.003082,0.002003,0.950643
18,0,0.002001,0.002342,0.002935,0.002298,0.002031,0.001989,0.002828,0.002003,0.948227
19,0,0.002001,0.002317,0.002866,0.002168,0.00203,0.001989,0.002659,0.002003,0.945828
20,0,0.002001,0.002293,0.002804,0.002147,0.00203,0.001988,0.002553,0.002003,0.943444
21,0,0.002001,0.00227,0.002748,0.002161,0.002029,0.001988,0.002476,0.002003,0.941073
22,0,0.002001,0.00225,0.002698,0.002159,0.002029,0.001988,0.002392,0.002003,0.938715
23,0,0.002001,0.002234,0.002652,0.002183,0.002029,0.001988,0.002325,0.002003,0.936367
24,0,0.002001,0.002217,0.00261,0.002188,0.002029,0.001988,0.002273,0.002003,0.934029
25,0,0.002001,0.002199,0.002572,0.002214,0.002028,0.001988,0.002231,0.002003,0.931699
26,0,0.002001,0.002184,0.002536,0.002221,0.002028,0.001988,0.002194,0.002003,0.929378
27,0,0.002001,0.002172,0.002503,0.002321,0.002028,0.001988,0.002163,0.002003,0.927065
28,0,0.002001,0.00216,0.002472,0.002234,0.002028,0.001988,0.002136,0.002003,0.924759
29,0,0.002001,0.00215,0.002444,0.002221,0.002028,0.001988,0.002112,0.002003,0.922458
30,0,0.002001,0.002151,0.002417,0.002237,0.002027,0.001988,0.00209,0.002003,0.920163
31,0,0.002001,0.002148,0.002391,0.002306,0.002027,0.001991,0.002071,0.002003,0.917873
32,0,0.002001,0.002133,0.002367,0.002721,0.002027,0.001992,0.002055,0.002003,0.915589
33,0,0.002001,0.002123,0.002345,0.00238,0.002027,0.001989,0.00204,0.002003,0.913308
34,0,0.002001,0.002123,0.002324,0.002305,0.002027,0.001987,0.002028,0.002003,0.911033
35,0,0.002001,0.002112,0.002303,0.002726,0.002027,0.001987,0.002017,0.002003,0.908761
36,0,0.002001,0.002092,0.002284,0.00253,0.002027,0.001987,0.002008,0.002003,0.906493
37,0,0.002001,0.002082,0.002267,0.002484,0.002027,0.001987,0.002001,0.002003,0.904229
38,0,0.002001,0.00209,0.00225,0.002635,0.002026,0.001987,0.001995,0.002003,0.901968
39,0,0.002001,0.002084,0.002234,0.002548,0.002026,0.001987,0.00199,0.002003,0.899711
40,0,0.002001,0.002074,0.002219,0.002534,0.002026,0.001987,0.001986,0.002004,0.897458
41,0,0.002001,0.00207,0.002204,0.002501,0.002026,0.001987,0.001983,0.002004,0.895207
42,0,0.002001,0.002071,0.002191,0.002464,0.002026,0.001987,0.00198,0.002004,0.89296
43,0,0.002001,0.002067,0.002179,0.002427,0.002026,0.001988,0.001978,0.002004,0.890718
44,0,0.002001,0.002063,0.002167,0.002394,0.002026,0.001988,0.001977,0.002004,0.888477
45,0,0.002001,0.00206,0.002156,0.002359,0.002026,0.001988,0.001975,0.002004,0.88624
46,0,0.002001,0.002057,0.002145,0.002311,0.002026,0.001987,0.001974,0.002004,0.884006
47,0,0.002001,0.002058,0.002135,0.002267,0.002026,0.001987,0.001974,0.002004,0.881775
48,0,0.002001,0.002064,0.002126,0.00225,0.002026,0.001988,0.001973,0.002004,0.879547
49,0,0.002001,0.00207,0.002117,0.002236,0.002026,0.001988,0.001972,0.002004,0.877322
50,0,0.002001,0.002074,0.002109,0.002222,0.002026,0.001988,0.001972,0.002004,0.875101
51,0,0.002001,0.002072,0.002101,0.002217,0.002026,0.001988,0.001972,0.002003,0.872882
52,0,0.002001,0.002069,0.002093,0.002171,0.002025,0.001988,0.001971,0.002003,0.870666
53,0,0.002001,0.002067,0.002086,0.00211,0.002025,0.001988,0.001971,0.002003,0.868452
54,0,0.002001,0.002066,0.00208,0.0021,0.002025,0.001988,0.00197,0.002003,0.866243
55,0,0.002001,0.002065,0.002074,0.002102,0.002025,0.001987,0.00197,0.002003,0.864036
56,0,0.002001,0.002062,0.002068,0.002116,0.002025,0.001987,0.00197,0.002003,0.861831
57,0,0.002001,0.002057,0.002062,0.00209,0.002025,0.001987,0.00197,0.002003,0.859629
58,0,0.002001,0.002053,0.002057,0.002118,0.002025,0.001987,0.001969,0.002003,0.85743
59,0,0.002001,0.002049,0.002052,0.00208,0.002025,0.001987,0.001969,0.002003,0.855235
60,0,0.002001,0.002046,0.002047,0.002049,0.002025,0.001987,0.001969,0.002003,0.853041
61,0,0.002001,0.002043,0.002042,0.002127,0.002025,0.001987,0.001968,0.002003,0.850851
62,0,0.002001,0.002041,0.002038,0.002124,0.002025,0.001987,0.001968,0.002003,0.848663
63,0,0.002001,0.002039,0.002034,0.002155,0.002025,0.001987,0.001968,0.002003,0.846479
64,0,0.002001,0.002037,0.00203,0.002118,0.002025,0.001988,0.001968,0.002003,0.844297
65,0,0.002001,0.002035,0.002026,0.002163,0.002025,0.001988,0.001968,0.002003,0.842117
66,0,0.002001,0.002034,0.002023,0.002111,0.002025,0.001988,0.001967,0.002003,0.839941
67,0,0.002001,0.002032,0.00202,0.002164,0.002025,0.001988,0.001967,0.002003,0.837767
68,0,0.002001,0.002031,0.002017,0.002119,0.002025,0.001988,0.001967,0.002003,0.835596
69,0,0.002001,0.00203,0.002014,0.002126,0.002025,0.001988,0.001967,0.002003,0.833428
70,0,0.002001,0.002029,0.002012,0.002117,0.002025,0.001988,0.001967,0.002003,0.831262
71,0,0.002001,0.002028,0.00201,0.002147,0.002025,0.001988,0.001967,0.002003,0.8291
72,0,0.002001,0.002027,0.002008,0.002103,0.002025,0.001988,0.001967,0.002003,0.82694
73,0,0.002001,0.002027,0.002006,0.002122,0.002024,0.001988,0.001966,0.002003,0.824783
74,0,0.002001,0.002026,0.002004,0.002103,0.002024,0.001988,0.001966,0.002003,0.822629
75,0,0.002001,0.002025,0.002003,0.002131,0.002024,0.001987,0.001966,0.002003,0.820477
76,0,0.002001,0.002024,0.002001,0.002105,0.002024,0.001987,0.001966,0.002003,0.818329
77,0,0.002001,0.002023,0.002,0.002131,0.002024,0.001987,0.001966,0.002003,0.816183
78,0,0.002001,0.002023,0.001998,0.002114,0.002024,0.001987,0.001966,0.002003,0.81404
79,0,0.002001,0.002022,0.001997,0.002119,0.002024,0.001987,0.001966,0.002003,0.811899
80,0,0.002001,0.002021,0.001996,0.002112,0.002024,0.001987,0.001966,0.002003,0.809762
81,0,0.002001,0.002021,0.001995,0.002112,0.002024,0.001987,0.001966,0.002003,0.807627
82,0,0.002001,0.002021,0.001994,0.002104,0.002024,0.001987,0.001966,0.002003,0.805495
83,0,0.002001,0.00202,0.001992,0.002104,0.002024,0.001987,0.001966,0.002003,0.803366
84,0,0.002001,0.00202,0.001991,0.002096,0.002024,0.001987,0.001966,0.002003,0.80124
85,0,0.002001,0.002019,0.00199,0.002105,0.002024,0.001987,0.001966,0.002003,0.799116
86,0,0.002001,0.002019,0.00199,0.002094,0.002024,0.001987,0.001966,0.002003,0.796996
87,0,0.002001,0.002019,0.001989,0.002129,0.002024,0.001986,0.001966,0.002003,0.794878
88,0,0.002001,0.002018,0.001988,0.002098,0.002024,0.001986,0.001966,0.002003,0.792763
89,0,0.002001,0.002018,0.001987,0.002101,0.002024,0.001986,0.001966,0.002003,0.790651
90,0,0.002001,0.002017,0.001986,0.002094,0.002024,0.001986,0.001966,0.002003,0.788542
91,0,0.002001,0.002017,0.001986,0.00212,0.002024,0.001986,0.001965,0.002003,0.786435
92,0,0.002001,0.002017,0.001985,0.002108,0.002024,0.001986,0.001965,0.002003,0.784332
93,0,0.002001,0.002016,0.001984,0.002147,0.002024,0.001986,0.001965,0.002003,0.782231
94,0,0.002001,0.002016,0.001984,0.0021,0.002024,0.001986,0.001965,0.002003,0.780133
95,0,0.002001,0.002016,0.001983,0.002109,0.002024,0.001986,0.001965,0.002003,0.778038
96,0,0.002001,0.002015,0.001983,0.002111,0.002024,0.001986,0.001965,0.002003,0.775946
