loss;elapsed_time;iteration
0.005511;31.18;0
0.003619;30.87;0
0.003019;31.07;0
0.002758;31.01;0
0.002582;31.06;0
0.002949;31.04;0
0.002500;31.11;0
0.002355;31.03;0
0.002413;31.01;0
0.002404;30.93;0
0.002233;30.90;0
0.002300;31.10;0
0.002285;30.86;0
0.002228;30.49;0
0.002313;30.32;0
0.002185;30.33;0
0.002186;30.26;0
0.002217;30.31;0
0.002298;30.24;0
0.002168;30.18;0
0.002147;30.11;0
0.002161;30.12;0
0.002159;30.16;0
0.002183;30.23;0
0.002188;30.21;0
0.002214;30.34;0
0.002221;30.15;0
0.002321;30.24;0
0.002234;30.27;0
0.002221;30.27;0
0.002237;30.43;0
0.002306;30.31;0
0.002721;30.28;0
0.002380;30.26;0
0.002305;30.26;0
0.002726;30.17;0
0.002530;30.27;0
0.002484;30.24;0
0.002635;30.16;0
0.002548;30.20;0
0.002534;30.21;0
0.002501;30.24;0
0.002464;30.32;0
0.002427;30.25;0
0.002394;30.34;0
0.002359;30.30;0
0.002311;30.39;0
0.002267;30.39;0
0.002250;30.25;0
0.002236;30.17;0
0.002222;30.22;0
0.002217;30.19;0
0.002171;30.21;0
0.002110;30.20;0
0.002100;30.18;0
0.002102;29.99;0
0.002116;30.02;0
0.002090;30.07;0
0.002118;29.97;0
0.002080;30.09;0
0.002049;30.01;0
0.002127;30.06;0
0.002124;30.06;0
0.002155;30.03;0
0.002118;30.20;0
0.002163;30.16;0
0.002111;30.10;0
0.002164;30.06;0
0.002119;30.04;0
0.002126;30.02;0
0.002117;30.16;0
0.002147;30.20;0
0.002103;30.15;0
0.002122;30.16;0
0.002103;30.09;0
0.002131;30.21;0
0.002105;30.10;0
0.002131;30.22;0
0.002114;30.21;0
0.002119;30.15;0
0.002112;30.14;0
0.002112;30.29;0
0.002104;30.14;0
0.002104;30.13;0
0.002096;30.17;0
0.002105;30.12;0
0.002094;30.22;0
0.002129;30.16;0
0.002098;30.12;0
0.002101;30.17;0
0.002094;30.14;0
0.002120;30.05;0
