old;new
-0.010783;-0.009233
-0.009916;-0.009762
-0.009996;-0.036936
-0.089061;-0.090010
-0.091640;-0.090210
-0.089590;-0.090189
-0.089249;-0.089827
-0.089499;-0.090229
-0.089187;-0.090339
-0.089547;-0.093364
-0.089139;-0.089793
-0.088774;-0.090277
-0.089487;-0.090300
-0.089425;-0.090244
-0.089281;-0.091709
-0.089478;-0.090065
-0.089853;-0.089893
-0.089741;-0.090327
-0.089819;-0.090375
-0.089695;-0.094306
-0.010683;-0.010127
-0.011292;-0.009563
-0.010142;-0.037740
-0.089275;-0.090030
-0.089108;-0.090065
-0.089664;-0.090570
-0.089533;-0.090478
-0.089454;-0.092411
-0.089610;-0.090646
-0.089846;-0.090509
-0.089638;-0.090338
-0.089715;-0.089771
-0.089396;-0.090138
-0.092007;-0.090009
-0.089804;-0.090130
-0.089374;-0.090160
-0.089694;-0.090247
-0.089887;-0.090134
-0.090883;-0.090166
-0.089683;-0.095114
-0.010848;-0.009612
-0.009973;-0.009804
-0.009813;-0.037233
-0.089189;-0.090423
-0.089507;-0.090607
-0.089538;-0.092735
-0.089381;-0.089965
-0.089309;-0.090474
-0.089845;-0.089950
-0.089917;-0.089923
-0.089868;-0.091603
-0.089705;-0.090095
-0.089760;-0.090242
-0.089339;-0.090501
-0.089591;-0.090096
-0.089019;-0.090221
-0.091271;-0.090946
-0.089030;-0.090463
-0.089066;-0.090577
-0.088735;-0.094721
-0.010697;-0.009626
-0.009824;-0.009457
-0.010105;-0.037012
-0.091885;-0.090105
-0.089415;-0.090547
-0.089657;-0.090710
-0.089128;-0.090551
-0.089020;-0.090026
-0.092022;-0.090897
-0.089290;-0.090538
-0.089157;-0.090151
-0.089621;-0.089997
-0.089753;-0.090177
-0.089545;-0.092434
-0.089900;-0.089783
-0.089221;-0.089450
-0.089657;-0.090101
-0.090099;-0.090069
-0.089815;-0.091479
-0.089660;-0.094488
