old;new
-0.003935;-0.003633
-0.003650;-0.003726
-0.003517;-0.003653
-0.003559;-0.018783
-0.077586;-0.010944
-0.008316;-0.008205
-0.007730;-0.007951
-0.007362;-0.007862
-0.007398;-0.007557
-0.007776;-0.007515
-0.007672;-0.007525
-0.007630;-0.007828
-0.007400;-0.007905
-0.007704;-0.007985
-0.007622;-0.007530
-0.007727;-0.007530
-0.007616;-0.007426
-0.007475;-0.007560
-0.007191;-0.007575
-0.007305;-0.007237
-0.004092;-0.003703
-0.003703;-0.003678
-0.003607;-0.003811
-0.003696;-0.003743
-0.003844;-0.003869
-0.003702;-0.003605
-0.003634;-0.003793
-0.003787;-0.007547
-0.007156;-0.007378
-0.007502;-0.007594
-0.007505;-0.007271
-0.009542;-0.012887
-0.012365;-0.012385
-0.005343;-0.003783
-0.003708;-0.003646
-0.003735;-0.005915
-0.007377;-0.007621
-0.007170;-0.007577
-0.007472;-0.007283
-0.007430;-0.007308
-0.004148;-0.003884
-0.003847;-0.003710
-0.003765;-0.003766
-0.003839;-0.003761
-0.003755;-0.003733
-0.003911;-0.004027
-0.003749;-0.003808
-0.003712;-0.006317
-0.007421;-0.007280
-0.007421;-0.007276
-0.007486;-0.007593
-0.007186;-0.007608
-0.007206;-0.007503
-0.007160;-0.007545
-0.007132;-0.007626
-0.007339;-0.007273
-0.007493;-0.007297
-0.007519;-0.007280
-0.007514;-0.007395
-0.007421;-0.007284
-0.004113;-0.003712
-0.003882;-0.003679
-0.003692;-0.004062
-0.003795;-0.003665
-0.003717;-0.003737
-0.003781;-0.003823
-0.003852;-0.003663
-0.003737;-0.006731
-0.007405;-0.007291
-0.007533;-0.007268
-0.007483;-0.007265
-0.007349;-0.007302
-0.007405;-0.007650
-0.007122;-0.007605
-0.007123;-0.007593
-0.007140;-0.007651
-0.007135;-0.007644
-0.007443;-0.007284
-0.007443;-0.007267
-0.007128;-0.007260
