old;new
-0.050650;-0.013883
-0.005841;-0.009801
-0.017132;-0.182762
-2.230569;-0.098110
-0.098103;-0.092198
-0.091649;-0.092128
-0.091717;-0.092295
-0.091433;-0.092261
-0.091402;-0.092446
-0.090669;-0.092975
-0.092195;-0.092213
-0.090257;-0.092340
-0.091269;-0.092553
-0.091710;-0.091881
-0.091225;-0.091684
-0.091554;-0.091733
-0.091677;-0.092079
-0.091048;-0.092992
-0.090956;-0.092351
-0.091173;-0.096783
-0.004909;-0.005133
-0.005036;-0.004913
-0.006764;-0.037980
-0.091035;-0.091403
-0.090480;-0.092797
-0.090990;-0.093586
-0.092577;-0.092061
-0.091729;-0.092731
-0.091244;-0.092615
-0.092517;-0.093002
-0.091657;-0.092408
-0.091198;-0.091837
-0.092576;-0.094278
-0.092554;-0.093045
-0.092217;-0.093059
-0.092357;-0.092745
-0.091876;-0.092565
-0.093183;-0.093791
-0.094007;-0.093757
-0.093274;-0.097975
-0.011059;-0.009208
-0.010323;-0.009831
-0.010284;-0.038247
-0.090475;-0.091161
-0.090889;-0.090478
-0.090669;-0.091136
-0.090548;-0.091183
-0.091120;-0.092311
-0.091496;-0.091581
-0.091377;-0.090906
-0.090810;-0.091633
-0.090546;-0.091005
-0.093882;-0.094356
-0.091304;-0.091903
-0.091135;-0.091315
-0.089612;-0.092072
-0.092655;-0.092413
-0.089821;-0.090813
-0.090514;-0.090913
-0.090402;-0.096503
-0.010817;-0.009744
-0.010299;-0.009407
-0.010342;-0.037272
-0.090764;-0.090405
-0.089205;-0.091525
-0.090948;-0.091072
-0.090179;-0.090605
-0.089619;-0.091243
-0.092480;-0.092137
-0.091333;-0.092046
-0.091282;-0.090390
-0.089893;-0.090429
-0.090080;-0.092143
-0.091966;-0.093092
-0.091755;-0.090696
-0.091439;-0.091795
-0.089475;-0.090191
-0.090758;-0.090868
-0.090809;-0.090785
-0.089623;-0.097351
