old;new
-0.003940;-0.003900
-0.004143;-0.003726
-0.003592;-0.003734
-0.004049;-0.003745
-0.019000;-0.032516
-0.029467;-0.030633
-0.029141;-0.009265
-0.008284;-0.008527
-0.007774;-0.007769
-0.007944;-0.007520
-0.007755;-0.007657
-0.007635;-0.008014
-0.007657;-0.007774
-0.007539;-0.007974
-0.008038;-0.007646
-0.007821;-0.007537
-0.007714;-0.007990
-0.007302;-0.007942
-0.007372;-0.008260
-0.007180;-0.007265
-0.003855;-0.003520
-0.003522;-0.003787
-0.003634;-0.003520
-0.003492;-0.003633
-0.003531;-0.003531
-0.003558;-0.004403
-0.013845;-0.013180
-0.005869;-0.005789
-0.005517;-0.005707
-0.005714;-0.010182
-0.014751;-0.013628
-0.011100;-0.003967
-0.003860;-0.003819
-0.003776;-0.003790
-0.003890;-0.003624
-0.003721;-0.003621
-0.006419;-0.007858
-0.007119;-0.007560
-0.007144;-0.007360
-0.007179;-0.007524
-0.004090;-0.003808
-0.003737;-0.003675
-0.003692;-0.003776
-0.003735;-0.003615
-0.003881;-0.003862
-0.003640;-0.003592
-0.003860;-0.003784
-0.003669;-0.007178
-0.007134;-0.007692
-0.007548;-0.007183
-0.007517;-0.007257
-0.007364;-0.007305
-0.007553;-0.007348
-0.007596;-0.007402
-0.007179;-0.007441
-0.007142;-0.007332
-0.007306;-0.007644
-0.007169;-0.007599
-0.007465;-0.007290
-0.007585;-0.007193
-0.004091;-0.003660
-0.003614;-0.003579
-0.003788;-0.003618
-0.003808;-0.003640
-0.003676;-0.003709
-0.003782;-0.003633
-0.003717;-0.003744
-0.003785;-0.007787
-0.007000;-0.007499
-0.007103;-0.007560
-0.007124;-0.007586
-0.007118;-0.007271
-0.007752;-0.007244
-0.007449;-0.007242
-0.007311;-0.007242
-0.007446;-0.007251
-0.007440;-0.007468
-0.007105;-0.007524
-0.007190;-0.007283
-0.007460;-0.007551
