loss;elapsed_time;iteration
0.001996;43.70;0
0.001993;39.72;0
0.001992;39.23;0
0.001992;43.37;0
0.001991;39.43;0
0.001990;39.36;0
0.001989;39.20;0
0.001987;39.46;0
0.001984;39.29;0
0.001976;39.33;0
0.001965;39.33;0
0.001957;39.26;0
0.001951;39.35;0
0.001946;39.31;0
0.001943;39.19;0
0.001941;39.50;0
0.001939;39.10;0
0.001937;39.16;0
0.001936;39.20;0
0.001935;39.05;0
0.001934;39.16;0
0.001933;39.21;0
0.001932;39.28;0
0.001931;39.17;0
0.001930;39.24;0
0.001930;39.21;0
0.001929;39.30;0
0.001928;38.37;0
0.001927;38.26;0
0.001927;38.24;0
0.001926;38.28;0
0.001926;38.26;0
0.001925;38.20;0
0.001924;38.27;0
0.001924;38.24;0
0.001923;38.27;0
0.001923;38.25;0
0.001922;38.28;0
0.001922;38.28;0
0.001922;38.27;0
0.001921;38.23;0
0.001921;38.25;0
0.001920;38.21;0
0.001920;38.27;0
0.001920;38.25;0
0.001919;38.22;0
0.001919;38.22;0
0.001919;38.25;0
0.001918;38.25;0
0.001918;38.27;0
0.001917;38.25;0
0.001917;38.27;0
0.001916;38.25;0
0.001915;38.25;0
0.001913;38.26;0
0.001910;38.20;0
0.001907;38.25;0
0.001903;38.30;0
0.001900;38.30;0
0.001897;38.22;0
0.001895;38.31;0
0.001894;38.30;0
0.001892;38.29;0
0.001891;38.30;0
0.001890;38.29;0
0.001888;38.32;0
0.001887;38.30;0
0.001887;38.34;0
0.001886;38.26;0
0.001885;38.27;0
0.001884;38.27;0
0.001884;38.33;0
0.001883;38.32;0
0.001883;38.30;0
0.001882;38.25;0
0.001882;38.24;0
0.001881;38.30;0
0.001881;38.30;0
0.001880;38.34;0
0.001880;38.28;0
0.001879;38.30;0
0.001879;38.28;0
0.001879;38.31;0
0.001878;38.25;0
0.001878;38.33;0
0.001878;38.29;0
0.001877;38.29;0
0.001877;38.34;0
0.001877;38.28;0
0.001876;39.13;0
0.001876;38.34;0
0.001876;38.33;0
0.001876;38.32;0
0.001876;38.31;0
0.001875;38.34;0
0.001875;38.30;0
0.001876;38.33;0
0.001875;38.30;0
0.001874;38.26;0
0.001874;38.31;0
0.001915;39.12;1
0.001914;38.36;1
0.001913;38.35;1
0.001912;38.31;1
0.001912;38.37;1
0.001912;38.33;1
0.001912;38.32;1
0.001911;38.31;1
0.001911;38.38;1
0.001911;38.33;1
0.001911;38.35;1
0.001911;38.35;1
0.001911;38.33;1
0.001911;38.31;1
0.001910;38.35;1
0.001910;38.32;1
0.001910;38.29;1
0.001910;41.00;1
0.001910;41.97;1
0.001910;43.02;1
0.001910;39.23;1
0.001910;39.24;1
0.001910;39.50;1
0.001910;39.26;1
0.001910;39.21;1
0.001910;39.27;1
0.001909;39.51;1
0.001909;39.27;1
0.001909;39.17;1
0.001909;39.26;1
0.001909;39.30;1
0.001908;39.29;1
0.001908;39.19;1
0.001908;39.28;1
0.001907;39.28;1
0.001907;39.15;1
0.001906;39.29;1
0.001906;39.24;1
0.001905;39.26;1
0.001904;39.27;1
0.001903;39.28;1
0.001902;39.32;1
0.001901;39.11;1
0.001901;38.30;1
0.001900;38.28;1
0.001899;38.29;1
0.001899;38.33;1
0.001898;38.29;1
0.001898;38.33;1
0.001897;38.30;1
0.001876;39.16;1
0.001876;38.30;1
0.001876;38.31;1
0.001876;38.27;1
0.001876;38.32;1
0.001875;38.35;1
0.001875;38.28;1
0.001875;38.26;1
0.001875;38.22;1
0.001875;38.29;1
0.001875;38.35;1
0.001874;38.38;1
0.001874;38.25;1
0.001874;38.31;1
0.001874;38.26;1
0.001874;38.33;1
0.001874;38.34;1
0.001874;38.31;1
0.001873;38.29;1
0.001873;38.26;1
0.001873;38.29;1
0.001873;38.28;1
0.001873;38.28;1
0.001873;38.30;1
0.001873;38.30;1
0.001873;38.29;1
0.001872;38.28;1
0.001872;38.31;1
0.001872;38.28;1
0.001872;38.28;1
0.001872;38.31;1
0.001872;38.28;1
0.001872;38.33;1
0.001872;38.32;1
0.001872;38.32;1
0.001872;38.33;1
0.001871;38.30;1
0.001871;38.28;1
0.001871;38.34;1
0.001871;38.27;1
0.001872;38.27;1
0.001871;38.26;1
0.001871;38.27;1
0.001872;38.34;1
0.001871;38.29;1
0.001871;38.25;1
0.001871;38.29;1
0.001871;38.25;1
0.001871;38.32;1
0.001871;38.31;1
0.001895;39.14;2
0.001895;38.36;2
0.001894;38.28;2
0.001894;38.31;2
0.001894;38.31;2
0.001894;38.35;2
0.001893;38.34;2
0.001893;38.33;2
0.001893;38.77;2
0.001893;38.31;2
0.001893;38.32;2
0.001892;38.34;2
0.001892;38.32;2
0.001892;38.32;2
0.001892;38.34;2
0.001892;38.33;2
0.001891;38.35;2
0.001891;38.43;2
0.001891;38.37;2
0.001891;38.32;2
0.001891;38.32;2
0.001890;38.32;2
0.001890;38.36;2
0.001890;38.30;2
0.001890;38.38;2
0.001890;38.35;2
0.001890;38.31;2
0.001889;38.37;2
0.001889;38.32;2
0.001889;38.32;2
0.001889;38.30;2
